year,is_treatment,incident_year,incident_type,authority_code,total_in_migration,male_in_migration,female_in_migration,in_migration_age_15_29,total_out_migration,male_out_migration,female_out_migration,out_migration_age_15_29,start_roads_length_km,start_roads_area_sqm,start_water_pipes_km,start_sewage_pipes_km,start_drainage_pipes_km,complete_roads_length_km,complete_roads_area_sqm,complete_water_pipes_km,complete_sewage_pipes_km,complete_drainage_pipes_km,total_expenditures,expenditures_change,operations_expenditures,loan_repayment_expenditures,financing_expenditures,special_budget_expenditures,budget_surplus_deficit,annual_surplus_deficit,cumulative_deficit
2006,1,2012.0,indictment filed,3000,10922.0,5685.0,5237.0,5306.0,17263.0,8759.0,8504.0,7097.0,13.3,182.1,10.6,1.4,3.1999999999999997,15.8,223.7,10.1,1.4,2.7500000000000004,3460667.0,-7.3,705301.0,221770.5,8572.5,612698.5,186.0,186.0,-541341.0
2007,1,2012.0,indictment filed,3000,11209.0,5844.0,5365.0,5337.0,17598.0,8949.0,8649.0,7120.0,10.6,149.9,10.6,1.4,0.8,31.0,529.9,10.1,1.4,1.8,3994265.0,10.6,897987.0,230262.0,13828.0,647492.0,18883.0,18883.0,-326513.0
2008,1,2012.0,indictment filed,3000,12437.0,6567.0,5870.0,6211.0,17357.0,8880.0,8477.0,6969.0,20.458,244.434,15.833,0.24,0.8,6.127,72.542,0.55,0.02,1.8,3994265.0,-12.5,897987.0,230262.0,13828.0,647492.0,9534.5,9534.5,-326513.0
2009,1,2012.0,indictment filed,3000,11650.0,5967.0,5683.0,5479.0,18788.0,9655.0,9133.0,7801.0,0.1,1.0,0.1,1.0,27.3,2.1,25.0,0.8,6.2,23.9,3861561.0,2.3,1128840.0,252224.0,14325.0,428156.0,5282.0,5282.0,-288079.0
2010,1,2012.0,indictment filed,3000,11072.0,5825.0,5247.0,5185.0,18325.0,9390.0,8935.0,7255.0,5.6,65.0,6.4,5.8,0.7,8.2,141.6,16.9,6.0,0.7,4126066.0,4.0,1230804.0,253226.0,14246.0,528438.0,3186.0,3186.0,-277893.0
2011,1,2012.0,indictment filed,3000,10396.0,5453.0,4943.0,4722.0,17758.0,9151.0,8607.0,7029.0,8.7,173.4,2.4,8.4,14.0,5.15,83.3,9.3,4.9,12.299999999999999,4696685.0,10.0,1308673.0,257264.0,14936.0,890633.0,4325.0,4325.0,-273568.0
2012,1,2012.0,indictment filed,3000,10454.0,5478.0,4976.0,4777.0,19197.0,9965.0,9232.0,7628.0,1.0,8.2,14.2,31.4,1.6,9.8,182.3,14.1,31.4,1.6,5192269.0,8.8,1459884.0,231885.0,15613.0,1096683.0,8451.0,8451.0,-265117.0
1999,1,2013.0,indictment filed,6200,4774.964285714285,2685.0,2891.0,1972.0,9278.0,4513.0,4765.0,2974.0,0.3,2.2,1.5,0.1,0.1,0.3,2.2,1.5,0.1,0.1,523493.0,1.22682911069298,214022.0,22967.0,6710.0,64179.0,-11522.954545454546,-25159.31818181818,-171427.0
2000,1,2013.0,indictment filed,6200,4913.0,2378.0,2535.0,1731.0,8126.0,3937.0,4189.0,2608.0,0.3,2.2,2.0,0.1,0.1,0.3,2.2,2.0,0.1,0.1,542248.0,2.41513239736413,217384.0,24976.0,6114.0,72994.0,-11522.954545454546,-25159.31818181818,-171427.0
2001,1,2013.0,indictment filed,6200,5280.0,2631.0,2649.0,1872.0,8721.0,4308.0,4413.0,2792.0,1.2,12.4,0.4,0.6,0.7,1.2,12.4,0.4,0.1,0.1,551540.0,0.60693081901595,211961.0,23971.5,5608.0,52251.0,-11522.954545454546,-25159.31818181818,-171427.0
2002,1,2013.0,indictment filed,6200,5096.5,2504.5,2592.0,1801.5,8423.5,4122.5,4301.0,2700.0,1.2,12.4,1.2,0.6,0.39999999999999997,1.2,12.4,1.2,0.1,0.1,546894.0,0.60693081901595,214672.5,24976.0,5861.0,62622.5,-11522.954545454546,-25159.31818181818,-171427.0
2003,1,2013.0,indictment filed,6200,3887.0,1877.0,2010.0,1356.0,5980.0,2923.0,3057.0,1924.0,0.5,5.0,5.1,1.4,2.9,4.5,58.0,0.4,0.7,0.6,588091.0,-9.27319826719245,160001.0,29700.0,7923.0,41018.0,-73697.0,-73697.0,-171427.0
2004,1,2013.0,indictment filed,6200,5363.0,2655.0,2708.0,1799.0,7408.0,3687.0,3721.0,2426.0,2.9,47.2,0.3,1.4,0.2,1.9,24.2,0.3,1.4,3.4,596086.0,1.76654968001804,98323.0,28355.0,7198.0,34695.0,-22696.0,-22696.0,-169323.0
2005,1,2013.0,indictment filed,6200,4789.0,2395.0,2394.0,1668.0,5954.0,2981.0,2973.0,1860.0,7.1,65.0,11.1,0.6,0.5,8.1,88.0,5.7,0.6,1.7,643104.0,6.50734628849921,114153.0,28637.0,5060.0,61059.0,-15547.0,-15547.0,-139870.0
2006,1,2013.0,indictment filed,6200,5252.0,2660.0,2592.0,1707.0,6115.0,3013.0,3102.0,1873.0,1.6,11.1,3.2,0.9,0.7,1.6,11.1,3.2,0.9,0.7,619595.0,4.7,106238.0,28496.0,6129.0,47877.0,-19121.5,-19121.5,-139870.0
2007,1,2013.0,indictment filed,6200,4848.0,2457.0,2391.0,1462.0,5723.0,2872.0,2851.0,1701.0,0.1,1.0,3.2,0.9,0.7,1.0,25.2,3.2,0.9,0.7,688704.0,-0.3,145355.0,31532.0,4047.0,70060.0,946.0,-6054.0,-94363.0
2008,1,2013.0,indictment filed,6200,4724.0,2375.0,2349.0,1337.0,5600.0,2823.0,2777.0,1496.0,0.8499999999999996,6.049999999999997,3.306,1.08,1.09,1.2999999999999998,18.15,7.131,1.08,1.09,688704.0,-1.0,145355.0,31532.0,4047.0,70060.0,946.0,-6054.0,-94363.0
2009,1,2013.0,indictment filed,6200,4994.0,2577.0,2417.0,1473.0,6020.0,3017.0,3003.0,1588.0,0.1,1.0,0.1,0.99,0.8950000000000001,1.0,25.2,1.0,0.99,0.8950000000000001,675816.0,-8.2,126413.0,35857.0,3642.0,45589.0,314.0,314.0,-94755.0
2010,1,2013.0,indictment filed,6200,4641.0,2344.0,2297.0,1336.0,5639.0,2823.0,2816.0,1507.0,0.1,1.0,1.702999999999999,1.08,1.09,1.0,25.2,2.8,1.08,1.09,706333.0,1.8,129929.0,35572.0,3888.0,57398.0,193.0,193.0,-94562.0
2011,1,2013.0,indictment filed,6200,4379.0,2245.0,2134.0,1244.0,5195.0,2546.0,2649.0,1316.0,0.1,1.0,7.0,1.08,1.09,1.0,25.2,7.0,1.08,1.09,826000.0,13.0,127554.0,32949.0,3756.0,159559.0,436.0,-68564.0,-94126.0
2012,1,2013.0,indictment filed,6200,4497.0,2274.0,2223.0,1228.0,5598.0,2835.0,2763.0,1357.0,0.1,1.0,5.3,1.08,1.09,1.0,25.2,5.3,1.08,1.09,782116.0,-6.8,139563.0,28240.0,3150.0,70593.0,582.0,582.0,-93544.0
2013,1,2013.0,indictment filed,6200,4186.0,2112.0,2074.0,1109.0,5715.0,2844.0,2871.0,1325.0,16.7,141.4,2.1,0.3,1.09,16.7,141.4,1.5,0.3,1.09,947869.0,19.3,145111.0,28916.0,2906.0,146051.0,892.0,-66108.0,-92652.0
1999,1,2010.0,indictment filed,6700,1058.9130434782608,520.0,501.0,468.0,1806.0,902.0,904.0,892.0,0.2,1.4,1.3,1.5,0.3,6.3,74.3,1.3,4.1,0.1,223411.0,3.69575570312035,85236.0,15385.0,2359.0,35768.0,-12086.52380952381,-17636.41176470588,-48802.0
1999,1,2011.0,indictment filed,6700,1058.9130434782608,520.0,501.0,468.0,1806.0,902.0,904.0,892.0,0.2,1.4,1.3,1.5,0.3,6.3,74.3,1.3,4.1,0.1,223411.0,3.69575570312035,85236.0,15385.0,2359.0,35768.0,-12086.52380952381,-17636.41176470588,-48802.0
2000,1,2010.0,indictment filed,6700,935.0,461.0,474.0,396.0,1742.0,922.0,820.0,853.0,0.2,1.4,0.5,1.5,0.3,6.3,74.3,1.3,3.9,0.1,229730.0,1.66938834346162,89720.0,15961.0,2760.0,38417.0,-964.0,-17636.41176470588,-48802.0
2000,1,2011.0,indictment filed,6700,935.0,461.0,474.0,396.0,1742.0,922.0,820.0,853.0,0.2,1.4,0.5,1.5,0.3,6.3,74.3,1.3,3.9,0.1,229730.0,1.66938834346162,89720.0,15961.0,2760.0,38417.0,-964.0,-17636.41176470588,-48802.0
2001,1,2010.0,indictment filed,6700,1306.0,640.0,666.0,482.0,1965.0,986.0,979.0,899.0,2.6,30.9,3.7,0.8,0.3,6.3,74.3,0.7,1.6,0.1,277043.0,19.2829340838467,99674.0,15961.0,2655.0,52343.0,-964.0,-17636.41176470588,-48802.0
2001,1,2011.0,indictment filed,6700,1306.0,640.0,666.0,482.0,1965.0,986.0,979.0,899.0,2.6,30.9,3.7,0.8,0.3,6.3,74.3,0.7,1.6,0.1,277043.0,19.2829340838467,99674.0,15961.0,2655.0,52343.0,-964.0,-17636.41176470588,-48802.0
2002,1,2010.0,indictment filed,6700,1306.0,640.0,666.0,482.0,1965.0,986.0,979.0,899.0,2.6,30.9,3.7,0.8,0.3,6.3,74.3,0.7,1.6,0.1,277043.0,19.2829340838467,99674.0,18040.217391304348,2655.0,52343.0,-12086.52380952381,-17636.41176470588,-48802.0
2002,1,2011.0,indictment filed,6700,1306.0,640.0,666.0,482.0,1965.0,986.0,979.0,899.0,2.6,30.9,3.7,0.8,0.3,6.3,74.3,0.7,1.6,0.1,277043.0,19.2829340838467,99674.0,18040.217391304348,2655.0,52343.0,-12086.52380952381,-17636.41176470588,-48802.0
2003,1,2010.0,indictment filed,6700,836.0,446.0,390.0,360.0,1475.0,762.0,713.0,598.0,1.9,13.3,3.4,0.4,0.2,6.3,74.3,3.2,0.2,0.1,290531.0,-7.1205549819454,71994.0,19059.0,3019.0,50542.0,-19363.0,-19363.0,-48802.0
2003,1,2011.0,indictment filed,6700,836.0,446.0,390.0,360.0,1475.0,762.0,713.0,598.0,1.9,13.3,3.4,0.4,0.2,6.3,74.3,3.2,0.2,0.1,290531.0,-7.1205549819454,71994.0,19059.0,3019.0,50542.0,-19363.0,-19363.0,-48802.0
2004,1,2010.0,indictment filed,6700,1004.0,513.0,491.0,458.0,1934.0,994.0,940.0,810.0,1.2,8.4,0.6,0.4,0.4,3.5,27.5,2.6,0.2,1.8,279660.0,-3.35519014145805,55973.0,20073.0,2205.0,45208.0,-13940.0,-17369.0,-56142.0
2004,1,2011.0,indictment filed,6700,1004.0,513.0,491.0,458.0,1934.0,994.0,940.0,810.0,1.2,8.4,0.6,0.4,0.4,3.5,27.5,2.6,0.2,1.8,279660.0,-3.35519014145805,55973.0,20073.0,2205.0,45208.0,-13940.0,-17369.0,-56142.0
2005,1,2010.0,indictment filed,6700,974.0,500.0,474.0,374.0,1578.0,814.0,764.0,686.0,2.7,29.4,1.0,0.8,1.4,3.5,27.5,2.6,0.2,1.1,255741.0,-9.72296628089028,54914.0,16635.0,2357.0,27606.0,-13631.0,-13631.0,-64892.0
2005,1,2011.0,indictment filed,6700,974.0,500.0,474.0,374.0,1578.0,814.0,764.0,686.0,2.7,29.4,1.0,0.8,1.4,3.5,27.5,2.6,0.2,1.1,255741.0,-9.72296628089028,54914.0,16635.0,2357.0,27606.0,-13631.0,-13631.0,-64892.0
2006,1,2010.0,indictment filed,6700,945.0,474.0,471.0,367.0,1679.0,815.0,864.0,633.0,0.1,1.2,0.2,4.7,1.4,2.8,30.6,1.2,1.2,0.1,255741.0,24.0,54914.0,16635.0,2357.0,27606.0,-13631.0,-13631.0,-64892.0
2006,1,2011.0,indictment filed,6700,945.0,474.0,471.0,367.0,1679.0,815.0,864.0,633.0,0.1,1.2,0.2,4.7,1.4,2.8,30.6,1.2,1.2,0.1,255741.0,24.0,54914.0,16635.0,2357.0,27606.0,-13631.0,-13631.0,-64892.0
2007,1,2010.0,indictment filed,6700,879.0,425.0,454.0,337.0,1730.0,905.0,825.0,592.0,0.1,1.2,0.2,4.7,1.4,2.8,30.6,1.2,1.2,0.1,282643.0,-13.2,63069.0,13719.0,3073.0,34867.0,-3505.0,-5005.0,-85358.0
2007,1,2011.0,indictment filed,6700,879.0,425.0,454.0,337.0,1730.0,905.0,825.0,592.0,0.1,1.2,0.2,4.7,1.4,2.8,30.6,1.2,1.2,0.1,282643.0,-13.2,63069.0,13719.0,3073.0,34867.0,-3505.0,-5005.0,-85358.0
2008,1,2010.0,indictment filed,6700,1073.0,509.0,564.0,385.0,1595.0,797.0,798.0,525.0,0.1,1.2,0.2,4.7,1.4,2.8,30.6,1.2,1.2,0.1,282643.0,5.7,63069.0,13719.0,3073.0,34867.0,-21.0,-21.0,-85358.0
2008,1,2011.0,indictment filed,6700,1073.0,509.0,564.0,385.0,1595.0,797.0,798.0,525.0,0.1,1.2,0.2,4.7,1.4,2.8,30.6,1.2,1.2,0.1,282643.0,5.7,63069.0,13719.0,3073.0,34867.0,-21.0,-21.0,-85358.0
2009,1,2010.0,indictment filed,6700,1103.0,562.0,541.0,368.0,1919.0,962.0,957.0,614.0,0.1,1.2,0.2,4.7,1.4,2.8,30.6,1.2,1.2,0.1,362277.0,12.3,66040.0,42468.0,2589.0,65263.0,-13241.0,-27241.0,-68795.0
2009,1,2011.0,indictment filed,6700,1103.0,562.0,541.0,368.0,1919.0,962.0,957.0,614.0,0.1,1.2,0.2,4.7,1.4,2.8,30.6,1.2,1.2,0.1,362277.0,12.3,66040.0,42468.0,2589.0,65263.0,-13241.0,-27241.0,-68795.0
2010,1,2010.0,indictment filed,6700,1215.0,645.0,570.0,410.0,1534.0,741.0,793.0,536.0,0.1,1.2,0.2,4.7,1.4,0.2,2.2,1.2,1.2,0.1,326303.0,-12.3,70357.0,11852.0,3325.0,40190.0,-29386.0,-35386.0,-91846.0
2010,1,2011.0,indictment filed,6700,1215.0,645.0,570.0,410.0,1534.0,741.0,793.0,536.0,0.1,1.2,0.2,4.7,1.4,0.2,2.2,1.2,1.2,0.1,326303.0,-12.3,70357.0,11852.0,3325.0,40190.0,-29386.0,-35386.0,-91846.0
2011,1,2011.0,indictment filed,6700,1203.0,596.0,607.0,399.0,1401.0,696.0,705.0,447.0,0.1,1.2,0.2,4.7,1.4,0.2,2.2,1.2,1.2,0.1,327436.0,-3.0,66796.0,11991.0,3489.0,42436.0,-36525.0,-36525.0,-128371.0
1999,1,2018.0,indictment filed,6900,3560.8947368421054,1496.0,1667.0,994.0,2932.0,1478.0,1454.0,1193.0,0.1,1.0,2.9,8.1,3.6,0.7,4.4,2.9,0.7,0.4,349652.0,-0.463939861649976,133045.0,26274.0,1973.0,47213.0,953.125,-9608.7495625,-104020.0
2000,1,2018.0,indictment filed,6900,2906.0,1412.0,1494.0,949.0,2755.0,1393.0,1362.0,1125.0,0.8,6.0,10.8,2.2,1.7,0.8,6.0,11.1,3.6,1.7,382062.0,8.03758774896113,151191.0,25054.0,4321.0,55659.0,953.125,-9608.7495625,-104020.0
2001,1,2018.0,indictment filed,6900,3422.0,1659.0,1763.0,1084.0,2946.0,1529.0,1417.0,1286.0,2.0,13.5,8.5,1.1,0.4,1.5,10.5,8.5,1.0,0.3,406485.0,5.23483480169693,125239.0,25664.0,3404.0,71903.0,953.125,-9608.7495625,-104020.0
2002,1,2018.0,indictment filed,6900,3164.0,1535.5,1628.5,1016.5,2850.5,1461.0,1389.5,1205.5,1.4,9.75,9.650000000000002,1.6500000000000004,1.05,1.15,8.25,9.8,2.3000000000000003,1.0,394273.5,5.23483480169693,138215.0,25054.0,3862.5,63781.0,953.125,-9608.7495625,-104020.0
2003,1,2018.0,indictment filed,6900,2611.0,1281.0,1330.0,820.0,2439.0,1192.0,1247.0,940.0,2.0,20.6,3.6,4.4,0.4,3.3,29.4,7.2,3.2,0.2,408107.0,7.96550316630327,106147.0,25485.0,6413.0,50911.0,-8304.0,-8304.0,-104020.0
2004,1,2018.0,indictment filed,6900,3247.0,1601.0,1646.0,970.0,3142.0,1504.0,1638.0,1215.0,2.2,13.0,1.7,3.9,0.4,1.8,12.4,1.7,0.7,0.4,452182.1,11.2448677355394,87047.0,24834.0,2955.0,94537.1,127.0,127.0,-101893.0
2005,1,2018.0,indictment filed,6900,2909.0,1432.0,1477.0,884.0,2977.0,1449.0,1528.0,1072.0,0.5,2.0,1.9,2.8,1.7,1.2,4.1,1.9,6.1,1.5,455384.3,-0.580411265326863,100214.0,25070.0,1588.0,74729.3,1982.0,1982.0,-74911.0
2006,1,2018.0,indictment filed,6900,3040.0,1523.0,1517.0,865.0,3359.0,1622.0,1737.0,1112.0,1.0,7.7,3.4,0.7,0.6,2.2,19.4,3.1,1.1,0.8,453783.19999999995,15.9,93630.5,24952.0,2271.5,84633.20000000001,559.0,1054.5,-74911.0
2007,1,2018.0,indictment filed,6900,2906.0,1424.0,1482.0,719.0,3399.0,1719.0,1680.0,1116.0,2.5,13.3,3.4,0.7,0.6,2.5,13.3,3.1,1.1,0.8,773790.0,42.8,122375.0,148575.0,2010.0,223051.0,266.0,-123034.0,-24086.0
2008,1,2018.0,indictment filed,6900,3483.0,1699.0,1784.0,848.0,3242.0,1634.0,1608.0,1085.0,0.82,4.75,3.349,12.381,10.08,1.265,7.849,3.052,0.151,0.34,773790.0,-23.9,122375.0,148575.0,2010.0,223051.0,439.0,439.0,-24086.0
2009,1,2018.0,indictment filed,6900,3544.0,1749.0,1795.0,847.0,3668.0,1833.0,1835.0,1222.0,0.4,3.0,0.7,0.4,1.8,0.4,3.6,4.8,2.8,1.5,619700.0,-2.6,136967.0,24225.0,2171.0,154129.0,631.0,631.0,-23016.0
2010,1,2018.0,indictment filed,6900,3498.0,1733.0,1765.0,757.0,3334.0,1659.0,1675.0,948.0,0.4,3.3,8.1,6.390499999999999,5.94,9.9,60.1,3.0,1.4755,0.2,622529.0,-2.2,143512.0,24501.0,2264.0,129266.0,1264.0,1264.0,-21752.0
2011,1,2018.0,indictment filed,6900,3770.0,1854.0,1916.0,739.0,3063.0,1584.0,1479.0,892.0,5.1,70.8,2.2,0.4,1.8,0.5,3.6,6.5,2.8,0.85,694491.0,7.8,146104.0,30364.0,2395.0,171356.0,2069.0,2069.0,-19683.0
2012,1,2018.0,indictment filed,6900,4502.0,2173.0,2329.0,774.0,3015.0,1542.0,1473.0,770.0,7.1,151.2,0.3,0.8,0.4,6.0,76.6,0.3,2.8,0.4,809809.0,14.7,152352.0,78049.0,2529.0,190296.0,2713.0,2713.0,-16970.0
2013,1,2018.0,indictment filed,6900,4527.0,2274.0,2253.0,732.0,3140.0,1567.0,1573.0,878.0,4.1,60.3,1.25,0.1,0.3,6.3,84.8,3.4,0.9,0.3,873533.0,6.2,179533.0,20340.0,1745.0,264054.0,2096.0,2096.0,-14874.0
2014,1,2018.0,indictment filed,6900,4296.0,2063.0,2233.0,637.0,3140.0,1606.0,1534.0,755.0,3.9,29.6,0.3,3.6,0.1,9.6,183.2,1.0,1.7,0.1,862262.0,-1.7,187805.0,21166.0,2085.0,221068.0,1752.0,1752.0,-13122.0
2015,1,2018.0,indictment filed,6900,4708.0,2279.0,2429.0,752.0,3015.0,1502.0,1513.0,791.0,3.245,29.24,0.3,4.218,0.42,2.845,25.79,1.0,3.401,0.42,824145.0,-3.8,201824.0,19325.0,1771.0,151812.0,2766.0,2766.0,-10356.0
2016,1,2018.0,indictment filed,6900,4132.0,2026.0,2106.0,656.0,3212.0,1608.0,1604.0,810.0,3.0,35.9,0.3,0.8,1.3,4.7,47.8,1.0,1.4,1.3,886182.0,8.1,209115.0,22030.0,1959.0,172481.0,2682.0,2682.0,-7674.0
2017,1,2018.0,indictment filed,6900,3461.0,1696.0,1765.0,544.0,3505.0,1749.0,1756.0,797.0,0.9,6.4,0.3,1.7,0.1,0.9,6.4,1.0,0.5,0.8599999999999999,818358.0,8.1,230521.0,18507.0,2091.0,168014.0,2701.0,-41979.0,-4973.0
2018,1,2018.0,indictment filed,6900,3531.0,1761.0,1770.0,545.0,3507.0,1727.0,1780.0,831.0,0.17,2.67,0.3,2.98,1.53,0.17,2.67,1.0,4.08,1.53,955784.0,8.1,253620.0,21966.0,2201.0,141235.0,1507.0,1.507,-3.466
1999,1,2006.0,indictment filed,7000,2242.8571428571427,1596.0,1670.0,1098.0,3139.0,1514.0,1625.0,1100.0,4.1,40.3,0.1,0.8,0.1,4.1,40.3,1.7,0.1,0.1,310030.0,5.23987372654424,132289.0,17795.0,2480.0,34944.0,-43468.625,-45553.25,-215386.0
2000,1,2006.0,indictment filed,7000,2599.0,1244.0,1355.0,832.0,2753.0,1334.0,1419.0,933.0,4.1,40.3,0.1,0.8,0.1,4.1,40.3,1.7,0.1,0.1,331299.0,2.67522230399417,133570.0,19038.0,5447.0,33150.0,-43468.625,-45553.25,-215386.0
2001,1,2006.0,indictment filed,7000,3139.0,1548.0,1591.0,1021.0,3677.0,1759.0,1918.0,1200.0,2.0,15.6,1.6,0.8,0.1,2.0,15.6,1.7,0.3,0.1,359615.0,7.36593680490194,69590.0,18416.5,6784.0,36883.0,-43468.625,-45553.25,-215386.0
2002,1,2006.0,indictment filed,7000,2869.0,1396.0,1473.0,926.5,3215.0,1546.5,1668.5,1066.5,2.0,15.6,0.8500000000000001,0.8,0.1,2.0,15.6,1.7,0.2,0.1,345457.0,7.36593680490194,101580.0,19038.0,6115.5,35016.5,-43468.625,-45553.25,-215386.0
2003,1,2006.0,indictment filed,7000,1654.0,797.0,857.0,579.0,2481.0,1222.0,1259.0,850.0,2.0,15.6,1.6,0.8,0.1,2.0,15.6,1.7,0.3,0.1,395701.5,11.3616856802586,92827.0,21422.0,9318.0,49252.0,-84476.0,-84476.0,-215386.0
2004,1,2006.0,indictment filed,7000,1907.0,923.0,984.0,694.0,3389.0,1685.0,1704.0,1068.0,0.8,8.5,3.0,3.1,0.1,0.5,6.3,2.2,1.8,0.1,335212.0,-14.9465423647778,71918.0,25164.0,4438.0,25757.0,-45981.0,-51540.0,-231367.0
2005,1,2006.0,indictment filed,7000,1649.0,811.0,838.0,582.0,2715.0,1324.0,1391.0,809.0,0.1,0.8,1.8,0.1,0.1,0.1,0.8,1.0,0.1,0.1,355068.0,4.56810837683985,76604.0,14409.0,1379.0,27574.0,-13618.0,-13618.0,-202534.0
2006,1,2006.0,indictment filed,7000,1883.0,909.0,974.0,678.0,2735.0,1342.0,1393.0,845.0,0.45,4.65,1.5,0.9,0.1,0.3,3.55,1.5,0.9,0.1,345140.0,-10.6,74261.0,19786.5,2908.5,26665.5,-29799.5,-32579.0,-202534.0
1999,1,2017.0,indictment filed,7100,3485.1944444444443,1549.0,1686.0,1150.0,2808.0,1384.0,1424.0,1301.0,0.9,9.0,8.2,5.4,1.7,2.2,29.0,4.7,7.8,2.7,438078.0,2.87127610174469,184293.0,17469.0,3378.0,75911.0,505.2,-1091.5333333333333,-16349.0
2000,1,2017.0,indictment filed,7100,2842.0,1415.0,1427.0,939.0,2898.0,1409.0,1489.0,1374.0,0.9,9.0,12.1,7.0,5.8,2.2,29.0,1.1,1.3,1.8,447267.0,0.946778391655001,197022.0,18104.0,2712.0,61722.0,505.2,-1091.5333333333333,-16349.0
2001,1,2017.0,indictment filed,7100,3453.0,1686.0,1767.0,1215.0,3211.0,1566.0,1645.0,1421.0,1.7,18.9,10.149999999999999,6.2,3.75,2.3,30.9,5.9,8.1,4.0,446191.0,-1.32598633648719,102246.0,17786.5,2962.0,34339.0,505.2,-1091.5333333333333,-16349.0
2002,1,2017.0,indictment filed,7100,3147.5,1550.5,1597.0,1077.0,3054.5,1487.5,1567.0,1397.5,1.7,18.9,12.1,7.0,5.8,2.3,30.9,3.5000000000000004,4.699999999999999,2.9,446729.0,-1.32598633648719,149634.0,18104.0,2837.0,48030.5,505.2,-1091.5333333333333,-16349.0
2003,1,2017.0,indictment filed,7100,2350.0,1125.0,1225.0,783.0,2530.0,1237.0,1293.0,1110.0,4.5,39.6,10.1,11.2,1.9,1.0,14.0,0.7,4.5,1.9,500138.0,8.46195028469381,151092.0,19867.0,1901.0,65774.0,-1913.0,-1913.0,-16349.0
2004,1,2017.0,indictment filed,7100,2805.0,1346.0,1459.0,1002.0,3261.0,1624.0,1637.0,1408.0,4.0,38.9,4.7,2.8,3.5,1.8,17.2,5.7,2.8,3.1,456648.0,-8.32891567710444,111182.0,20158.0,1042.0,59157.0,64.0,-3497.0,-16285.0
2005,1,2017.0,indictment filed,7100,2764.0,1361.0,1403.0,928.0,2721.0,1335.0,1386.0,1189.0,13.6,159.3,11.4,16.2,7.9,5.8,57.8,3.2,3.0,1.1,509498.0,10.1458652176177,128477.0,19596.0,1017.0,48496.0,385.0,385.0,-15900.0
2006,1,2017.0,indictment filed,7100,3012.0,1478.0,1534.0,1014.0,3058.0,1491.0,1567.0,1291.0,4.4,52.0,1.4,3.1,1.7,7.8,103.8,10.1,16.6,6.2,483073.0,-2.8,119829.5,19877.0,993.0,53826.5,100.0,100.0,-15900.0
2007,1,2017.0,indictment filed,7100,2947.0,1475.0,1472.0,942.0,3004.0,1512.0,1492.0,1164.0,9.8,105.0,1.4,3.0,1.7,2.1,18.3,10.1,16.6,6.2,580648.0,14.2,163900.0,13428.0,4128.0,71932.0,201.0,201.0,-15599.0
2008,1,2017.0,indictment filed,7100,3116.0,1599.0,1517.0,998.0,2778.0,1385.0,1393.0,1000.0,12.72,131.1,0.649,4.642,0.65,2.62,25.75,14.719,14.785,6.78,580648.0,-7.1,163900.0,13428.0,2560.5,71932.0,100.0,100.0,-15599.0
2009,1,2017.0,indictment filed,7100,3618.0,1813.0,1805.0,1135.0,3151.0,1530.0,1621.0,1161.0,1.5,17.0,7.5,1.5,0.8,2.36,22.025,82.1,17.0,2.3,563492.0,-3.3,181540.0,11141.0,4197.0,48566.0,-295.0,-295.0,-15794.0
2010,1,2017.0,indictment filed,7100,3318.0,1665.0,1653.0,1004.0,2749.0,1388.0,1361.0,1045.0,7.11,74.05,3.8,3.4,1.4,1.1,11.1,1.9,6.8,0.8,585319.0,1.1,179042.0,12453.0,4823.0,59532.0,1314.0,1314.0,-14480.0
2011,1,2017.0,indictment filed,7100,3447.0,1710.0,1737.0,947.0,2568.0,1250.0,1318.0,874.0,3.8,64.2,3.1,1.7,0.9,2.0,35.7,41.99999999999999,0.3,1.5499999999999998,693273.0,14.4,187093.0,12162.0,4050.0,89204.0,3210.0,3210.0,-11270.0
2012,1,2017.0,indictment filed,7100,3756.0,1883.0,1873.0,1085.0,2702.0,1302.0,1400.0,929.0,3.8,32.2,7.4,3.8,0.4,4.6,59.6,11.8,8.9,2.2,771967.0,9.6,200529.0,11747.0,4406.0,139887.0,672.0,672.0,-10598.0
2013,1,2017.0,indictment filed,7100,4369.0,2107.0,2262.0,1192.0,2690.0,1346.0,1344.0,927.0,5.8,64.4,9.5,5.6,0.6500000000000001,8.2,81.2,7.7,2.3,2.2,926162.0,18.1,223447.0,11337.0,4675.0,194891.0,647.0,647.0,-9951.0
2014,1,2017.0,indictment filed,7100,4471.0,2181.0,2290.0,1184.0,2934.0,1448.0,1486.0,881.0,1.6,16.4,5.5,4.7,0.2,2.0,17.5,0.3,3.7,2.2,973768.0,4.7,243089.0,15271.0,5261.0,222531.0,770.0,770.0,-9181.0
2015,1,2017.0,indictment filed,7100,4593.0,2318.0,2275.0,1258.0,2760.0,1366.0,1394.0,871.0,0.408,3.896,7.5,5.15,0.2,1.075,11.9,7.76,2.349,0.206,991581.0,2.4,256724.0,30586.0,5540.0,201600.0,2012.0,-6453.0,-7169.0
2016,1,2017.0,indictment filed,7100,4455.0,2234.0,2221.0,1099.0,3096.0,1540.0,1556.0,874.0,6.0,45.3,5.5,4.7,0.8,5.4,40.2,4.029999999999992,3.0245,0.8,865235.0,-2.9,224301.0,23588.0,4371.0,138499.0,304.0,304.0,-6865.0
